text,label,source
gel rửa tay lốc 3,Đồ vệ sinh cá nhân,synthetic
GỪNG TÚI 500G,Rau củ quả,synthetic
cua khay 500g,Thịt cá hải sản,synthetic
bơ thái lan khay 250g,Trái cây,synthetic
nescafe chai 1l,Đồ uống,synthetic
kiwi pháp khay 250g,Trái cây,synthetic
SƯỜN NON - (KG) - VAT 5%,Thịt cá hải sản,real
CELANO - BÁNH TRUNG THU THANH 100G,Bánh kẹo,synthetic
SỮA CHUA UỐNG GÓI 75G,Đồ khô / Gia vị,synthetic
BÁNH XỐP HŨ 22G,Bánh kẹo,synthetic
MÓC TREO QUẦN ÁO HỘP,Gia dụng,synthetic
pin aa túi 3.5kg,Gia dụng,synthetic
vissan - nem chua 500g,Thịt cá hải sản,synthetic
NGHÊU,Thịt cá hải sản,synthetic
NƯỚC CAM ÉP,Đồ uống,synthetic
CAM SÀNH THÁI LAN TÚI 1KG,Trái cây,synthetic
lavie - coca cola,Đồ uống,synthetic
bông tẩy trang,Đồ vệ sinh cá nhân,synthetic
CELANO - KẸO XÍ MUỘI HỘP THIẾC 400G,Bánh kẹo,synthetic
quà tặng: phiếu mua hàng 25.000đ mua bột giặt,Khác,synthetic
vietgap - khoai lang - (kg) - vat 5%,Rau củ quả,synthetic
nước giặt - (chai) - vat 10%,Gia dụng,synthetic
ariel - găng tay chai 1l,Gia dụng,synthetic
bánh bao không nhân thọ phát 300g (cb),Đồ khô / Gia vị,real
TÁO RUBY PHÁP - (KG) - VAT 5%,Trái cây,real
cây lau nhà bộ 3,Gia dụng,synthetic
vfresh - nước ép trái cây chai 350ml,Đồ uống,synthetic
BIA SAIGON LON 330ML,Đồ uống,synthetic
bột ngọt ajinomoto 100g cánh lớn +120,Đồ khô / Gia vị,real
kem đánh răng tuýp 100g,Đồ vệ sinh cá nhân,synthetic
KIWI ÚC (KG),Trái cây,synthetic
CHOCOPIE - BÁNH XỐP,Bánh kẹo,synthetic
DƯA HẤU MỸ (KG),Trái cây,synthetic
quà tặng: phiếu mua hàng 200.000đ mua dầu ăn,Khác,synthetic
VISSAN - THỊT BÒ - (KHAY) - VAT 8%,Thịt cá hải sản,synthetic
THỊT HEO KHAY 500G,Thịt cá hải sản,synthetic
dutch lady - mì hảo hảo gói 400g,Đồ khô / Gia vị,synthetic
NƯỚC SUỐI LỐC 6 LON,Đồ uống,synthetic
sữa đặc chai 270ml,Đồ khô / Gia vị,synthetic
bánh afc hộp thiếc 400g,Bánh kẹo,synthetic
KEM ĐÁNH RĂNG - (CHAI) - VAT 10%,Đồ vệ sinh cá nhân,synthetic
cp - thịt gà - (khay) - vat 8%,Thịt cá hải sản,synthetic
sườn già (kg),Thịt cá hải sản,synthetic
thịt bò (kg),Thịt cá hải sản,synthetic
khăn giấy gói 24 miếng,Đồ vệ sinh cá nhân,synthetic
colgate - bàn chải đánh răng,Đồ vệ sinh cá nhân,synthetic
sầu riêng,Trái cây,synthetic
quà tặng: phiếu mua hàng 15.000đ mua snack,Khác,synthetic
túi nilon,Khác,synthetic
soda thùng 24 lon,Đồ uống,synthetic
number 1 - g7 chai 1l,Đồ uống,synthetic
phí đóng gói,Khác,synthetic
XÀ LÁCH,Rau củ quả,synthetic
bánh afc thanh 100g,Bánh kẹo,synthetic
CP - NGHÊU - (KG) - VAT 5%,Thịt cá hải sản,synthetic
ariel - găng tay,Gia dụng,synthetic
xmen - kem chống nắng chai 500ml,Đồ vệ sinh cá nhân,synthetic
romano - nước súc miệng tuýp 100g,Đồ vệ sinh cá nhân,synthetic
sunhouse - bột giặt vỉ 4 viên,Gia dụng,synthetic
vissan - cua khay 500g,Thịt cá hải sản,synthetic
tiền cọc,Khác,synthetic
hành tây gói 300g,Rau củ quả,synthetic
bánh bông lan,Bánh kẹo,synthetic
bạch tuộc khay 500g,Thịt cá hải sản,synthetic
nước ép táo lon 330ml,Đồ uống,synthetic
CÁ VIÊN - (KG) - VAT 5%,Thịt cá hải sản,synthetic
THANH LONG THÁI LAN,Trái cây,synthetic
TÚI RÁC CUỘN,Gia dụng,synthetic
hồng giòn,Trái cây,synthetic
TÔM KHÔ - (KG) - VAT 5%,Thịt cá hải sản,synthetic
CAM SÀNH THÁI LAN HỘP 500G,Trái cây,synthetic
gạo vinh hiển khổng tước nguyên 5kg,Đồ khô / Gia vị,real
BÔNG TẨY TRANG HỘP,Đồ vệ sinh cá nhân,synthetic
XƯƠNG GIÁ HEO - (KG) - VAT 5%,Thịt cá hải sản,real
CLEAR - BÀN CHẢI ĐÁNH RĂNG TUÝP 200G,Đồ vệ sinh cá nhân,synthetic
TRỨNG VỊT CHAI 270ML,Đồ khô / Gia vị,synthetic
VIM - NỒI,Gia dụng,synthetic
hành tím,Rau củ quả,synthetic
NAM NGƯ - MÈ RANG CHAI 270ML,Đồ khô / Gia vị,synthetic
bơ lạt túi 5kg,Đồ khô / Gia vị,synthetic
HỒNG GIÒN NAM PHI (KG),Trái cây,synthetic
quà tặng: phiếu mua hàng 20.000đ mua dầu ăn,Khác,synthetic
vim - dao bếp hộp,Gia dụng,synthetic
mã giảm giá 80.000đ,Khác,synthetic
mãng cầu thái lan hộp 500g,Trái cây,synthetic
sữa chua uống lốc 4 hộp,Đồ khô / Gia vị,synthetic
freshfoco - bạch tuộc khay 300g,Thịt cá hải sản,synthetic
quà tặng: phiếu mua hàng 70.000đ mua sữa rửa mặt,Khác,synthetic
c2 chai 1l,Đồ uống,synthetic
TƯƠNG CÀ GÓI 75G,Đồ khô / Gia vị,synthetic
nescafe thùng 24 lon,Đồ uống,synthetic
SỮA ĐẶC - (CHAI) - VAT 8%,Đồ khô / Gia vị,synthetic
NHO (KG),Trái cây,synthetic
cải xanh - (kg) - vat 5%,Rau củ quả,synthetic
bánh chocopie lốc 4,Bánh kẹo,synthetic
nem chua (kg),Thịt cá hải sản,synthetic
XOÀI NAM PHI - (KG) - VAT 5%,Trái cây,synthetic
PEPSI - NƯỚC NGỌT HỘP 1L,Đồ uống,synthetic
VINAMILK - NẤM HƯƠNG KHÔ,Đồ khô / Gia vị,synthetic
sữa chua ăn vnm trái cây hộp 100g lốc 4 (al),Đồ khô / Gia vị,real
CỦ CẢI TRẮNG TÚI 500G,Rau củ quả,synthetic
trứng gà hộp 10,Đồ khô / Gia vị,real
đũa bộ 3,Gia dụng,synthetic
MEIZAN - TƯƠNG ỚT CHAI 270ML,Đồ khô / Gia vị,synthetic
ẾCH - (KHAY) - VAT 8%,Thịt cá hải sản,synthetic
ĐIỆN QUANG - MÓC TREO QUẦN ÁO TÚI 2KG,Gia dụng,synthetic
head & shoulders - khăn giấy lốc 3,Đồ vệ sinh cá nhân,synthetic
vifon - bột mì,Đồ khô / Gia vị,synthetic
G KITCHEN - CÁ VIÊN,Thịt cá hải sản,synthetic
MIẾN DONG,Đồ khô / Gia vị,synthetic
cp - mực ống (kg),Thịt cá hải sản,synthetic
TH TRUE JUICE - G7 CHAI 350ML,Đồ uống,synthetic
snack rong biển gói 200g,Bánh kẹo,synthetic
quà tặng: phiếu mua hàng 40.000đ mua dầu ăn,Khác,synthetic
nhãn - (kg) - vat 5%,Trái cây,synthetic
KEM HỘP HỘP 300G,Bánh kẹo,synthetic
sunhouse - nước xả vải chai 1l,Gia dụng,synthetic
xmen - tăm bông - (chai) - vat 10%,Đồ vệ sinh cá nhân,synthetic
ĐU ĐỦ HÀN QUỐC,Trái cây,synthetic
dao bếp hộp,Gia dụng,synthetic
sô cô la gói 192g,Bánh kẹo,synthetic
khổ qua (kg),Rau củ quả,synthetic
CẢI XANH (KG),Rau củ quả,synthetic
NƯỚC YẾN CHAI 1.5L,Đồ uống,synthetic
dutch lady - kem đặc có đường gói 75g,Đồ khô / Gia vị,synthetic
NAM NGƯ - KEM ĐẶC CÓ ĐƯỜNG LỐC 4 HỘP,Đồ khô / Gia vị,synthetic
khổ qua gói 300g,Rau củ quả,synthetic
DOWNY - NƯỚC TẨY TÚI 2KG,Gia dụng,synthetic
hành lá bó,Rau củ quả,synthetic
quà tặng: phiếu mua hàng 80.000đ mua gia vị,Khác,synthetic
BƯỞI HỘP 500G,Trái cây,synthetic
KẸO DỪA THANH 100G,Bánh kẹo,synthetic
mực ống khay 300g,Thịt cá hải sản,synthetic
quà tặng: phiếu mua hàng 40.000đ mua rau củ,Khác,synthetic
CÂY LAU NHÀ CÁI,Gia dụng,synthetic
senka - nước tẩy trang hộp,Đồ vệ sinh cá nhân,synthetic
bật lửa hộp,Gia dụng,synthetic
kem que,Bánh kẹo,synthetic
thịt bò xay khay 300g,Thịt cá hải sản,synthetic
khuyến mãi mua 1 tặng 1,Khác,synthetic
quà tặng: phiếu mua hàng 100.000đ mua thịt cá,Khác,synthetic
xà lách gói 300g,Rau củ quả,synthetic
dưa leo túi 500g,Rau củ quả,synthetic
rau dền - (gói) - vat 5%,Rau củ quả,synthetic
LẠP XƯỞNG (KG),Thịt cá hải sản,synthetic
VFRESH - NƯỚC SUỐI LỐC 6 LON,Đồ uống,synthetic
ly thủy tinh - (chai) - vat 10%,Gia dụng,synthetic
MEATDELI - NEM CHUA 500G,Thịt cá hải sản,synthetic
romano - sữa tắm chai 500ml,Đồ vệ sinh cá nhân,synthetic
kẹo xí muội gói 85g,Bánh kẹo,synthetic
XƯƠNG HEO - (KG) - VAT 5%,Thịt cá hải sản,synthetic
sườn già khay 500g,Thịt cá hải sản,synthetic
thịt heo,Thịt cá hải sản,synthetic
mè rang,Đồ khô / Gia vị,synthetic
MÓC TREO QUẦN ÁO CHAI 750ML,Gia dụng,synthetic
kem que - (gói) - vat 8%,Bánh kẹo,synthetic
hảo hảo - sữa tươi - (chai) - vat 8%,Đồ khô / Gia vị,synthetic
meatdeli - bạch tuộc 1kg,Thịt cá hải sản,synthetic
rau dền - (kg) - vat 5%,Rau củ quả,synthetic
CÁ VIÊN,Thịt cá hải sản,synthetic
BIA HEINEKEN THÙNG 24 LON,Đồ uống,synthetic
bông cải xanh gói 300g,Rau củ quả,synthetic
POCA - BÁNH TAI HEO,Bánh kẹo,synthetic
TRÀ LIPTON LỐC 4 HỘP,Đồ uống,synthetic
PEPSI HỘP 1L,Đồ uống,synthetic
bánh afc gói 85g,Bánh kẹo,synthetic
quà tặng: phiếu mua hàng 100.000đ mua gia vị,Khác,synthetic
CHẢO CHỐNG DÍNH,Gia dụng,synthetic
BIA SAIGON CHAI 350ML,Đồ uống,synthetic
SIMPLY - BỘT NĂNG GÓI 1KG,Đồ khô / Gia vị,synthetic
cp - nem chua (kg),Thịt cá hải sản,synthetic
kem đặc có đường,Đồ khô / Gia vị,synthetic
vải hộp 500g,Trái cây,synthetic
CÁ NGỪ GÓI 300G,Thịt cá hải sản,synthetic
SỮA RỬA MẶT GÓI 10 MIẾNG,Đồ vệ sinh cá nhân,synthetic
PHI LÊ MÁ ĐÙI KHÔNG DA - (KG) - VAT 5%,Thịt cá hải sản,real
PEPSI LỐC 4 HỘP,Đồ uống,synthetic
BÁNH AFC LỐC 4,Bánh kẹo,synthetic
dưa hấu hộp 500g,Trái cây,synthetic
mồng tơi,Rau củ quả,synthetic
kem đánh răng chai 900ml,Đồ vệ sinh cá nhân,synthetic
gel rửa tay chai 900ml,Đồ vệ sinh cá nhân,synthetic
BÔNG CẢI XANH,Rau củ quả,synthetic
khoai tây (kg),Rau củ quả,synthetic
phiếu giảm giá 200.000đ,Khác,synthetic
bia heineken lon 330ml,Đồ uống,synthetic
snack oishi nhân socola vị hazelnut gói 85g/80g,Bánh kẹo,real
nước tương đậu nành hương việt cholimex thanh vị chai 500ml,Đồ khô / Gia vị,real
chocopie - bim bim gói 200g,Bánh kẹo,synthetic
kem hộp cao cấp celano sôcôla và hạt sôcôla 460ml,Bánh kẹo,real
kẹo cứng hộp thiếc 400g,Bánh kẹo,synthetic
cần tây bó,Rau củ quả,synthetic
thịt bò,Thịt cá hải sản,synthetic
phiếu giảm giá 80.000đ,Khác,synthetic
MEATDELI - CÁ NỤC - (KG) - VAT 5%,Thịt cá hải sản,synthetic
quà tặng: phiếu mua hàng 30.000đ mua trà,Khác,synthetic
túi rác túi 3.5kg,Gia dụng,synthetic
KẸO XÍ MUỘI HỘP THIẾC 400G,Bánh kẹo,synthetic
meizan - rong biển khô gói 1kg,Đồ khô / Gia vị,synthetic
G KITCHEN - CÁNH GÀ GÓI 300G,Thịt cá hải sản,synthetic
cà phê hòa tan chai 1l,Đồ uống,synthetic
LẠP XƯỞNG KHAY 500G,Thịt cá hải sản,synthetic
quà tặng: phiếu mua hàng 150.000đ mua thịt cá,Khác,synthetic
kẹo sữa hộp 300g,Bánh kẹo,synthetic
ĐŨA TÚI 2KG,Gia dụng,synthetic
quà tặng kèm,Khác,synthetic
đậu phộng,Đồ khô / Gia vị,synthetic
cp - tôm khô (kg),Thịt cá hải sản,synthetic
sữa tươi tiệt trùng bịch 220g,Đồ khô / Gia vị,synthetic
aquafina - nescafe hộp 1l,Đồ uống,synthetic
xoài úc khay 250g,Trái cây,synthetic
HÀNH LÁ - (KG) - VAT 5%,Rau củ quả,synthetic
phiếu giảm giá 100.000đ,Khác,synthetic
nước khoáng chai 500ml,Đồ uống,synthetic
quà tặng: phiếu mua hàng 70.000đ mua gạo ST25,Khác,synthetic
kem đánh răng p/s baking soda & hương thảo 230g,Đồ vệ sinh cá nhân,real
nước mắm hộp 100g,Đồ khô / Gia vị,synthetic
chôm chôm mỹ - (kg) - vat 5%,Trái cây,synthetic
quà tặng: phiếu mua hàng 70.000đ mua nước ngọt,Khác,synthetic
NƯỚC SÚC MIỆNG TUÝP 200G,Đồ vệ sinh cá nhân,synthetic
G7 THÙNG 24 LON,Đồ uống,synthetic
mặt nạ - (chai) - vat 10%,Đồ vệ sinh cá nhân,synthetic
VINAMILK - DẦU GẠO - (CHAI) - VAT 8%,Đồ khô / Gia vị,synthetic
XÚC XÍCH KHAY 500G,Thịt cá hải sản,synthetic
HADA LABO - NƯỚC TẨY TRANG HỘP,Đồ vệ sinh cá nhân,synthetic
chuối pháp túi 1kg,Trái cây,synthetic
kẹo cứng gói 192g,Bánh kẹo,synthetic
xà lách lolo xanh gói 300gr,Rau củ quả,real
POCA - KEM QUE LỐC 4,Bánh kẹo,synthetic
CHOCOPIE - KẸO MÚT GÓI 192G,Bánh kẹo,synthetic
quà tặng: phiếu mua hàng 15.000đ mua hạt nêm,Khác,synthetic
DIANA - LĂN KHỬ MÙI - (CHAI) - VAT 10%,Đồ vệ sinh cá nhân,synthetic
LỰU ÚC HỘP 500G,Trái cây,synthetic
SNACK RONG BIỂN,Bánh kẹo,synthetic
NHO MẪU ĐƠN KHAY 250G,Trái cây,synthetic
KHĂN LAU BẾP,Gia dụng,synthetic
kẹo dẻo lốc 4,Bánh kẹo,synthetic
mã giảm giá 50.000đ,Khác,synthetic
THỊT BÒ XAY - (KG) - VAT 5%,Thịt cá hải sản,real
bánh chocopie gói 192g,Bánh kẹo,synthetic
merino - kẹo xí muội - (gói) - vat 8%,Bánh kẹo,synthetic
rổ nhựa cái,Gia dụng,synthetic
dứa túi 1kg,Trái cây,synthetic
su su,Rau củ quả,synthetic
xoài mỹ - (kg) - vat 5%,Trái cây,synthetic
COCA COLA CHAI 500ML,Đồ uống,synthetic
KEM DƯỠNG DA CHAI 500ML,Đồ vệ sinh cá nhân,synthetic
vinamilk - trà bí đao lốc 4 hộp,Đồ uống,synthetic
nước hoa lốc 3,Đồ vệ sinh cá nhân,synthetic
mã giảm giá 20.000đ,Khác,synthetic
màng bọc thực phẩm gói 1kg,Gia dụng,synthetic
HÀNH TÍM TÚI 1KG,Rau củ quả,synthetic
quà tặng: phiếu mua hàng 70.000đ mua snack,Khác,synthetic
nước súc miệng gói 24 miếng,Đồ vệ sinh cá nhân,synthetic
ĐU ĐỦ MỸ,Trái cây,synthetic
đậu cô ve - (gói) - vat 5%,Rau củ quả,synthetic
vissan - cá diêu hồng 1kg,Thịt cá hải sản,synthetic
nho pháp (kg),Trái cây,synthetic
THỚT CÁI,Gia dụng,synthetic
CÁNH GÀ 500G,Thịt cá hải sản,synthetic
mận - (kg) - vat 5%,Trái cây,synthetic
THƠM - (KG) - VAT 5%,Trái cây,synthetic
DỨA HÀN QUỐC HỘP 500G,Trái cây,synthetic
NEM CHUA GÓI 300G,Thịt cá hải sản,synthetic
MIẾNG RỬA CHÉN,Gia dụng,synthetic
bột giặt chai 750ml,Gia dụng,synthetic
ớt chuông (kg),Rau củ quả,real
cá basa gói 300g,Thịt cá hải sản,synthetic
nhãn (kg),Trái cây,synthetic
móc treo quần áo cuộn,Gia dụng,synthetic
nho mẫu đơn hàn quốc - (kg) - vat 5%,Trái cây,synthetic
quà tặng: phiếu mua hàng 150.000đ mua tã em bé,Khác,synthetic
TÔM THẺ 500G,Thịt cá hải sản,synthetic
CHOLIMEX - SA TẾ GÓI 75G,Đồ khô / Gia vị,synthetic
quà tặng: phiếu mua hàng 25.000đ mua trái cây,Khác,synthetic
7up lốc 4 hộp,Đồ uống,synthetic
GIẤY VỆ SINH TUÝP 200G,Đồ vệ sinh cá nhân,synthetic
hảo hảo - sữa đặc gói 75g,Đồ khô / Gia vị,synthetic
VIM - GIẤY BẠC - (CHAI) - VAT 10%,Gia dụng,synthetic
ĐŨA CUỘN,Gia dụng,synthetic
quà tặng: phiếu mua hàng 25.000đ mua đồ hộp,Khác,synthetic
quà tặng: phiếu mua hàng 30.000đ mua cà phê,Khác,synthetic
ĐẬU PHỘNG BỊCH 220G,Đồ khô / Gia vị,synthetic
quà tặng: phiếu mua hàng 40.000đ mua dầu gội,Khác,synthetic
BỘT NĂNG,Đồ khô / Gia vị,synthetic
phí dịch vụ,Khác,synthetic
G KITCHEN - XÚC XÍCH (KG),Thịt cá hải sản,synthetic
giấy bạc túi 2kg,Gia dụng,synthetic
quà tặng: phiếu mua hàng 200.000đ mua dầu gội,Khác,synthetic
MỒNG TƠI - (GÓI) - VAT 5%,Rau củ quả,synthetic
nước súc miệng gói 10 miếng,Đồ vệ sinh cá nhân,synthetic
downy - nước xả vải,Gia dụng,synthetic
DẦU GỘI GÓI 10 MIẾNG,Đồ vệ sinh cá nhân,synthetic
nước xả vải cuộn,Gia dụng,synthetic
quà tặng: phiếu mua hàng 150.000đ mua nước ngọt,Khác,synthetic
quà tặng: phiếu mua hàng 30.000đ mua gia vị,Khác,synthetic
quà tặng: phiếu mua hàng 80.000đ mua gạo ST25,Khác,synthetic
đu đủ pháp - (kg) - vat 5%,Trái cây,synthetic
hộp đựng thực phẩm cái,Gia dụng,synthetic
WAKE-UP 247 - NƯỚC CAM ÉP,Đồ uống,synthetic
SUNLIGHT - MÓC TREO QUẦN ÁO HỘP,Gia dụng,synthetic
MEATDELI - XÚC XÍCH KHAY 300G,Thịt cá hải sản,synthetic
phiếu quà tặng 20.000đ,Khác,synthetic
KITKAT - BÁNH AFC HỘP THIẾC 400G,Bánh kẹo,synthetic
kẹo mút,Bánh kẹo,synthetic
LAVIE - NƯỚC ÉP TRÁI CÂY,Đồ uống,synthetic
cá ngừ 1kg,Thịt cá hải sản,synthetic
quà tặng: phiếu mua hàng 150.000đ mua gạo ST25,Khác,synthetic
hồng giòn new zealand,Trái cây,synthetic
CHÉN SỨ TÚI 2KG,Gia dụng,synthetic
nhãn nam phi túi 1kg,Trái cây,synthetic
ĐẬU BẮP GÓI 300G,Rau củ quả,synthetic
NESCAFE HỘP 1L,Đồ uống,synthetic
dâu tây mỹ,Trái cây,synthetic
chuối thái lan,Trái cây,synthetic
hành tím gói 300g,Rau củ quả,synthetic
hành tây,Rau củ quả,real
cây lau nhà hộp,Gia dụng,synthetic
kinh đô - bánh quy yến mạch gói 200g,Bánh kẹo,synthetic
KẸO DẺO HŨ 22G,Bánh kẹo,synthetic
quà tặng: phiếu mua hàng 150.000đ mua dầu gội,Khác,synthetic
lê hàn quốc khay 250g,Trái cây,synthetic
freshfoco - nạm bò,Thịt cá hải sản,synthetic
chén sứ hộp,Gia dụng,synthetic
lock&lock - nước tẩy gói 1kg,Gia dụng,synthetic
DƯA HẤU,Trái cây,synthetic
CẢI THÌA VIETGAP 300G - (GÓI) - VAT 5%,Rau củ quả,real
CÀ RỐT TÚI 500G,Rau củ quả,synthetic
CẦU ĐẤT FARM - GỪNG (KG),Rau củ quả,synthetic
cp - sườn già,Thịt cá hải sản,synthetic
SƯỜN NON (KG),Thịt cá hải sản,synthetic
xà phòng tuýp 100g,Đồ vệ sinh cá nhân,synthetic
kem hộp cao cấp celano caramen muối 460ml,Bánh kẹo,real
NƯỚC HOA HỘP,Đồ vệ sinh cá nhân,synthetic
rau muống bó,Rau củ quả,synthetic
NỒI,Gia dụng,synthetic
TƯỜNG AN - DẦU GẠO LỨT LIGHT 1L - (CHAI) - VAT 8%,Đồ khô / Gia vị,real
ông thọ - gạo st25 bịch 220g,Đồ khô / Gia vị,synthetic
bánh cosy hũ 22g,Bánh kẹo,synthetic
XÀ PHÒNG LỐC 3,Đồ vệ sinh cá nhân,synthetic
kinh đô - kem hộp gói 85g,Bánh kẹo,synthetic
SNACK KHOAI TÂY HỘP THIẾC 400G,Bánh kẹo,synthetic
cp - xúc xích - (khay) - vat 8%,Thịt cá hải sản,synthetic
nước tăng lực,Đồ uống,synthetic
quà tặng: phiếu mua hàng 15.000đ mua mì gói,Khác,synthetic
nescafe lốc 6 lon,Đồ uống,synthetic
head & shoulders - bàn chải đánh răng,Đồ vệ sinh cá nhân,synthetic
SỮA TẮM TUÝP 200G,Đồ vệ sinh cá nhân,synthetic
BA HUÂN - TÔM KHÔ KHAY 500G,Thịt cá hải sản,synthetic
quà tặng: phiếu mua hàng 100.000đ mua kem các loại,Khác,synthetic
COSY - BIM BIM THANH 100G,Bánh kẹo,synthetic
muối i-ốt chai 270ml,Đồ khô / Gia vị,synthetic
vải túi 1kg,Trái cây,synthetic
cải xanh bó,Rau củ quả,synthetic
cải ngọt (kg),Rau củ quả,synthetic
SODA LỐC 6 LON,Đồ uống,synthetic
khoai tây,Rau củ quả,real
xoài túi 1kg,Trái cây,synthetic
ARIEL - NƯỚC LAU SÀN CUỘN,Gia dụng,synthetic
BLUESTONE - RỔ NHỰA,Gia dụng,synthetic
DỨA PHÁP HỘP 500G,Trái cây,synthetic
KHĂN LAU BẾP CHAI 750ML,Gia dụng,synthetic
THỚT,Gia dụng,synthetic
màng bọc thực phẩm,Gia dụng,synthetic
bánh quy bơ gói 85g,Bánh kẹo,synthetic
phiếu quà tặng 150.000đ,Khác,synthetic
cầu đất farm - gừng,Rau củ quả,synthetic
SUNLIGHT - PIN AA CHAI 750ML,Gia dụng,synthetic
th true juice - nước tăng lực chai 350ml,Đồ uống,synthetic
hành tây - (kg) - vat 5%,Rau củ quả,synthetic
NHÃN THÁI LAN TÚI 1KG,Trái cây,synthetic
gừng túi 1kg,Rau củ quả,synthetic
SỮA RỬA MẶT,Đồ vệ sinh cá nhân,synthetic
khoai lang nhật,Rau củ quả,real
BIA TIGER CHAI 500ML,Đồ uống,synthetic
quýt úc,Trái cây,synthetic
miếng rửa chén gói 1kg,Gia dụng,synthetic
VÁNG SỮA CHAI 500ML,Đồ khô / Gia vị,synthetic
trứng gà hộp 100g,Đồ khô / Gia vị,synthetic
gà viên 1kg,Thịt cá hải sản,synthetic
TƯƠNG ỚT HỘP 100G,Đồ khô / Gia vị,synthetic
quà tặng: phiếu mua hàng 20.000đ mua kem đánh răng,Khác,synthetic
lavie - red bull chai 500ml,Đồ uống,synthetic
phiếu quà tặng 50.000đ,Khác,synthetic
LIFEBUOY - KHĂN GIẤY CHAI 500ML,Đồ vệ sinh cá nhân,synthetic
SƯỜN NON 500G,Thịt cá hải sản,synthetic
quà tặng: phiếu mua hàng 80.000đ mua kem các loại,Khác,synthetic
bánh bông lan hũ 22g,Bánh kẹo,synthetic
tường an - trứng cút,Đồ khô / Gia vị,synthetic
NƯỚC GIẶT HỘP,Gia dụng,synthetic
HADA LABO - KEM CHỐNG NẮNG LỐC 3,Đồ vệ sinh cá nhân,synthetic
CÂY LAU NHÀ CUỘN,Gia dụng,synthetic
SỮA DƯỠNG THỂ CHAI 650ML,Đồ vệ sinh cá nhân,synthetic
bánh pía gói 85g,Bánh kẹo,synthetic
bóng đèn led hộp,Gia dụng,synthetic
găng tay,Gia dụng,synthetic
dầu xả gói 24 miếng,Đồ vệ sinh cá nhân,synthetic
