text,label,source
thanh toán vé máy bay,Du lịch,synthetic
Đinh Minh Minh quỹ ae,Quỹ nhóm,synthetic
thanh toán tiền điện,Sinh hoạt & Nhà ở,synthetic
tiền chợ,Gia đình,synthetic
quỹ lớp,Quỹ nhóm,synthetic
5.banh,Ăn uống,real
trả tiền wifi,Sinh hoạt & Nhà ở,synthetic
Ngô Hữu Yến đóng quỹ,Quỹ nhóm,synthetic
Hồ Thị Ngân quỹ,Quỹ nhóm,synthetic
quà sinh nhật Hoàng Tuấn Mai,Giải trí & Quan hệ,synthetic
tiền học con tháng 3,Gia đình,synthetic
gửi gia đình,Gia đình,synthetic
vé xe,Di chuyển,synthetic
Hoàng Hoàng Tài chuyen tien,Công việc & Khác,synthetic
Hồ Hải Minh quỹ,Quỹ nhóm,synthetic
Nhận từ Dương Đình Tâm,Thu nhập phụ,synthetic
tiền cho con tháng 4,Gia đình,synthetic
Grab% A-N3UV10YZQ01X,Di chuyển,synthetic
tiền học con tháng 7,Gia đình,synthetic
Lazada (2759,Mua sắm cá nhân,synthetic
quỹ du lịch nhóm,Quỹ nhóm,synthetic
Bamboo Airways đi Bali,Du lịch,synthetic
Võ Hải Khánh,Công việc & Khác,synthetic
TIKI thanh toan luong thang 10,Thu nhập chính,synthetic
tiền đi chơi,Giải trí & Quan hệ,synthetic
Rut tien tu Tikop TK26650536,Lãi đầu tư,synthetic
Manwah,Ăn uống,synthetic
tiền xét nghiệm,Sức khoẻ,synthetic
đi GrabCar,Di chuyển,synthetic
Phạm Minh Phúc,Công việc & Khác,synthetic
Lazada đơn 3264,Mua sắm cá nhân,synthetic
đi cầu lông,Sức khoẻ,synthetic
mừng đám cưới Trần Thành Phong,Giải trí & Quan hệ,synthetic
vé xe buýt,Di chuyển,synthetic
lo cho gia đình,Gia đình,synthetic
VNG thanh toan luong thang 3,Thu nhập chính,synthetic
VIETTEL thanh toan luong thang 3,Thu nhập chính,synthetic
Rut tien tu Tikop TK79634938,Lãi đầu tư,synthetic
đi nha khoa Kim,Sức khoẻ,synthetic
đi canxi,Sức khoẻ,synthetic
váy,Mua sắm cá nhân,synthetic
Nhận từ Lý Hữu Lan Trợ cấp,Thu nhập phụ,synthetic
siêu âm,Sức khoẻ,synthetic
phụ giúp gia đình tháng 4,Gia đình,synthetic
tiền Guardian,Sức khoẻ,synthetic
Spotify,Giải trí & Quan hệ,synthetic
Grab% A-5I1O3ADEEDHQ,Di chuyển,synthetic
đồng hồ,Mua sắm cá nhân,synthetic
vé máy bay đi Ninh Bình,Du lịch,synthetic
vé máy bay đi Sapa,Du lịch,synthetic
Sendo order,Mua sắm cá nhân,synthetic
đóng tiền internet,Sinh hoạt & Nhà ở,synthetic
đi Guardian,Sức khoẻ,synthetic
lãi tiết kiệm,Lãi đầu tư,synthetic
đi ăn,Ăn uống,synthetic
Shopee Anh,Mua sắm cá nhân,real
com,Ăn uống,real
VIETTEL thanh toan luong thang 4,Thu nhập chính,synthetic
biếu bà tháng 3,Gia đình,synthetic
tra gop 2/26,Công việc & Khác,real
quà tặng Đỗ Minh Dũng,Giải trí & Quan hệ,synthetic
mua nước mía,Ăn uống,synthetic
túi xách,Mua sắm cá nhân,synthetic
Vietnam Airlines đi Đà Nẵng,Du lịch,synthetic
MAI THANH TRUONG,Công việc & Khác,synthetic
Nhận từ Bùi Hải Hà,Thu nhập phụ,synthetic
tiền điện tháng 11,Sinh hoạt & Nhà ở,synthetic
HOANG KHANH HUONG chuyển tiền quỹ,Quỹ nhóm,synthetic
Grab% A-W9M1U6IQ579M,Di chuyển,synthetic
mua sạc dự phòng,Mua sắm cá nhân,synthetic
Rut tien tu Tikop TK65144861,Lãi đầu tư,synthetic
khen thưởng,Thu nhập chính,synthetic
tiền Mai Linh,Di chuyển,synthetic
ăn cơm trưa,Ăn uống,synthetic
thanh toán vé tàu hỏa,Du lịch,synthetic
bảo hiểm sức khỏe,Sức khoẻ,synthetic
chuyển đến Hoàng Thu Trung,Công việc & Khác,synthetic
mua dép,Mua sắm cá nhân,synthetic
Đinh Thị Quân quỹ,Quỹ nhóm,synthetic
Rut tien tu Tikop TK60267710,Lãi đầu tư,synthetic
đi ăn phở,Ăn uống,synthetic
Nhận từ Vũ Xuân Quân Trợ cấp,Thu nhập phụ,synthetic
U.thuoc,Sức khoẻ,real
quỹ ae,Quỹ nhóm,synthetic
Traveloka,Du lịch,synthetic
Rut tien tu Tikop TK38168948,Lãi đầu tư,synthetic
Hồ Gia Sơn,Công việc & Khác,synthetic
Nhận từ Trương Anh Dũng,Thu nhập phụ,synthetic
DUONG NGOC ANH chuyển trả,Thu nhập phụ,synthetic
lương tháng 9,Thu nhập chính,synthetic
khách sạn Hàn Quốc,Du lịch,synthetic
Grab% A-2BK1D9P4JAFO,Di chuyển,synthetic
tiền nước tháng 10,Sinh hoạt & Nhà ở,synthetic
đóng quỹ nhóm,Quỹ nhóm,synthetic
thể thao,Sức khoẻ,synthetic
GARENA thanh toan luong thang 7,Thu nhập chính,synthetic
Bún bò Huế,Ăn uống,synthetic
Mai Ngọc Hoa,Công việc & Khác,synthetic
tiền cho con tháng 3,Gia đình,synthetic
học phí con tháng 5,Gia đình,synthetic
Canifa,Mua sắm cá nhân,synthetic
TIKI thanh toan luong thang 6,Thu nhập chính,synthetic
tour Bali,Du lịch,synthetic
Grab% A-WOQ8ORBVYBZA,Di chuyển,synthetic
CONG TY TNHH ABC thanh toan luong thang 1,Thu nhập chính,synthetic
INFINA DANG HAI HUONG,Lãi đầu tư,synthetic
vé máy bay đi Phú Quốc,Du lịch,synthetic
Grab% A-ZBL5EMEJQLNG,Di chuyển,synthetic
DUONG BAO LONG chuyển tiền,Công việc & Khác,synthetic
thanh toán homestay,Du lịch,synthetic
lãi đầu tư,Lãi đầu tư,synthetic
DO XUAN NHI,Công việc & Khác,synthetic
cổ tức,Lãi đầu tư,synthetic
sinh nhật Trương Khánh Vân,Giải trí & Quan hệ,synthetic
tiền trả lại,Thu nhập phụ,synthetic
tiền học con tháng 10,Gia đình,synthetic
VU MINH KHANG quỹ,Quỹ nhóm,synthetic
tiền homestay,Du lịch,synthetic
Rut tien tu Tikop TK21376149,Lãi đầu tư,synthetic
DUONG HOANG HOA chuyen tien,Công việc & Khác,synthetic
đóng quỹ tháng 9,Quỹ nhóm,synthetic
Shopee đơn 8913,Mua sắm cá nhân,synthetic
Tiki Anh,Mua sắm cá nhân,synthetic
TRUONG TUAN QUYNH quỹ,Quỹ nhóm,synthetic
Rut tien tu Tikop TK78786599,Lãi đầu tư,synthetic
khách sạn Hà Nội,Du lịch,synthetic
Nhận từ Hoàng Văn Quang,Thu nhập phụ,synthetic
bún riêu,Ăn uống,synthetic
trả tiền mạng,Sinh hoạt & Nhà ở,synthetic
mua cà phê,Ăn uống,synthetic
đóng tiền thuê nhà,Sinh hoạt & Nhà ở,synthetic
mừng cưới Vũ Minh Minh,Giải trí & Quan hệ,synthetic
Nhận từ Đinh Minh Sơn Thu hồi nợ,Thu nhập phụ,synthetic
nạp thẻ FPT 50k,Sinh hoạt & Nhà ở,synthetic
tiền cáp,Sinh hoạt & Nhà ở,synthetic
MAI THI TRANG chuyen tien,Công việc & Khác,synthetic
mua phụ kiện,Mua sắm cá nhân,synthetic
đóng học phí,Gia đình,synthetic
cho ông tháng 8,Gia đình,synthetic
quỹ tháng 2,Quỹ nhóm,synthetic
tiền cho con tháng 5,Gia đình,synthetic
cho bà tháng 7,Gia đình,synthetic
DO BAO THIEN chuyen tien,Công việc & Khác,synthetic
tiền rác,Sinh hoạt & Nhà ở,synthetic
Mai Linh,Di chuyển,synthetic
QUANG NGAI DELICIOUS FOODS,Ăn uống,synthetic
Nhận từ Đinh Hải Dũng Trợ cấp,Thu nhập phụ,synthetic
tiền giày,Mua sắm cá nhân,synthetic
Grab% A-GMHP5NPTFEJ5,Di chuyển,synthetic
khám răng,Sức khoẻ,synthetic
chuyển đến Đặng Thị Khánh,Công việc & Khác,synthetic
Grab% A-CSDQVXN3WA4J,Di chuyển,synthetic
tiền viện phí,Sức khoẻ,synthetic
FPT Play,Giải trí & Quan hệ,synthetic
lợi nhuận đầu tư,Lãi đầu tư,synthetic
ăn mì xào,Ăn uống,synthetic
Rut tien tu Tikop TK29151794,Lãi đầu tư,synthetic
tiền nước muối sinh lý,Sức khoẻ,synthetic
mua giày,Mua sắm cá nhân,synthetic
Đinh Minh Bình quỹ,Quỹ nhóm,synthetic
mua sữa cho con tháng 1,Gia đình,synthetic
Shopee đơn 9882,Mua sắm cá nhân,synthetic
Mai Bảo Hùng chuyển tiền,Công việc & Khác,synthetic
trả góp tháng 6,Công việc & Khác,synthetic
Rut tien tu Tikop TK66158469,Lãi đầu tư,synthetic
tiền bỉm sữa tháng 9,Gia đình,synthetic
Grab% A-MU6SSK4J271L,Di chuyển,synthetic
TRAN THI QUYNH NHI CHUYEN tien4SP4020097042204190759132026T TS4240006.5390.45028.075858,Quỹ nhóm,real
Hoàng Thu Khang chuyen tien quy,Quỹ nhóm,synthetic
LUONG THANG 8/2026,Thu nhập chính,synthetic
ăn sáng sushi,Ăn uống,synthetic
Cf,Ăn uống,real
đi tennis,Sức khoẻ,synthetic
lì xì Ngô Gia Nhi,Giải trí & Quan hệ,synthetic
gửi ông,Gia đình,synthetic
NGO HOANG NGHIA chuyen tien quy,Quỹ nhóm,synthetic
gửi bà tháng 1,Gia đình,synthetic
CHA CA HN NGU PHO,Ăn uống,real
tiền cho em tháng 11,Gia đình,synthetic
trả tiền cáp,Sinh hoạt & Nhà ở,synthetic
dầu gió,Sức khoẻ,synthetic
quà tặng Đặng Hải Việt,Giải trí & Quan hệ,synthetic
Grab% A-YQEZ3OXQYUFU,Di chuyển,synthetic
GARENA thanh toan luong thang 12,Thu nhập chính,synthetic
Vietnam Airlines đi Nhật Bản,Du lịch,synthetic
tiền nước tháng 9,Sinh hoạt & Nhà ở,synthetic
HUYNH HOANG YEN chuyen tien quy,Quỹ nhóm,synthetic
GARENA thanh toan luong thang 5,Thu nhập chính,synthetic
INFINA VU TUAN THU,Lãi đầu tư,synthetic
mua thuốc,Sức khoẻ,synthetic
tiền Galaxy Cinema,Giải trí & Quan hệ,synthetic
đồ nướng,Ăn uống,synthetic
tiền cầu lông,Sức khoẻ,synthetic
Grab% A-Q7Q99666IYMQ,Di chuyển,synthetic
tiền bỉm sữa tháng 8,Gia đình,synthetic
thanh toán cơm gà,Ăn uống,synthetic
Lý Tuấn Phong chuyển tiền,Công việc & Khác,synthetic
tiền bia,Giải trí & Quan hệ,synthetic
gửi ông bà tháng 11,Gia đình,synthetic
đặt combo du lịch,Du lịch,synthetic
Đặng Xuân Phương chuyen tien,Công việc & Khác,synthetic
GARENA thanh toan luong thang 11,Thu nhập chính,synthetic
Nhận từ Trần Minh Linh Trợ cấp,Thu nhập phụ,synthetic
đi thuốc cảm,Sức khoẻ,synthetic
thanh toán tiền mạng,Sinh hoạt & Nhà ở,synthetic
son môi,Mua sắm cá nhân,synthetic
quà tặng Lý Gia Thành,Giải trí & Quan hệ,synthetic
Rut tien tu Tikop TK37605500,Lãi đầu tư,synthetic
Nhận từ Ngô Thu Vy,Thu nhập phụ,synthetic
Huỳnh Thành Nam,Công việc & Khác,synthetic
Sendo đơn 4455,Mua sắm cá nhân,synthetic
tiền học con tháng 2,Gia đình,synthetic
mua quần áo,Mua sắm cá nhân,synthetic
chuyển đến Nguyễn Tuấn Thắng,Công việc & Khác,synthetic
Bamboo Airways đi Huế,Du lịch,synthetic
Nhận từ Nguyễn Khánh Thu,Thu nhập phụ,synthetic
thanh toán pizza,Ăn uống,synthetic
gửi ông bà tháng 12,Gia đình,synthetic
Nhận từ Phan Gia Đạt,Thu nhập phụ,synthetic
Ngô Anh Kiên trả nợ,Thu nhập phụ,synthetic
tiền trọ tháng 8,Sinh hoạt & Nhà ở,synthetic
Pizza 4P's,Ăn uống,synthetic
Grab% A-MEBOJI8B0P2B,Di chuyển,synthetic
Rut tien tu Tikop TK28318112,Lãi đầu tư,synthetic
TIKI thanh toan luong thang 8,Thu nhập chính,synthetic
đi châm cứu,Sức khoẻ,synthetic
cơm trưa,Ăn uống,synthetic
Tiki (2127,Mua sắm cá nhân,synthetic
đặt phòng khách sạn,Du lịch,synthetic
PHAM TUAN DUY chuyển tiền,Công việc & Khác,synthetic
rau,Ăn uống,real
Nhận từ Phạm Thu Dũng,Thu nhập phụ,synthetic
tiền bệnh viện,Sức khoẻ,synthetic
VNG thanh toan luong thang 2,Thu nhập chính,synthetic
tiền GrabCar,Di chuyển,synthetic
Grab% A-8FIGKPKKSHE4,Di chuyển,synthetic
cau Iong,Sức khoẻ,real
mua sữa cho con tháng 11,Gia đình,synthetic
mừng đám cưới Bùi Bảo Phong,Giải trí & Quan hệ,synthetic
Coolmate,Mua sắm cá nhân,synthetic
Nhận từ Lý Tuấn Linh Thu hồi nợ,Thu nhập phụ,synthetic
tiền thuốc cảm,Sức khoẻ,synthetic
tiền sữa con tháng 8,Gia đình,synthetic
tiền hẹn hò,Giải trí & Quan hệ,synthetic
cà phê bạn bè,Giải trí & Quan hệ,synthetic
tiền vé tham quan,Du lịch,synthetic
trả góp 2040,Công việc & Khác,synthetic
Nhận từ Hoàng Hữu Ngọc,Thu nhập phụ,synthetic
TIKI thanh toan luong thang 2,Thu nhập chính,synthetic
pizza,Ăn uống,synthetic
đi Vinasun,Di chuyển,synthetic
BUI HUU PHUONG,Công việc & Khác,synthetic
Grab% A-8F9KFPV9HQOS,Di chuyển,synthetic
Phạm Văn Ngân quỹ ae,Quỹ nhóm,synthetic
đóng tiền phòng,Sinh hoạt & Nhà ở,synthetic
đi thuốc bổ,Sức khoẻ,synthetic
tiền khẩu trang,Sức khoẻ,synthetic
chuyển đến Đinh Bảo Hằng,Công việc & Khác,synthetic
TIKI THANH TOAN LUONG CO BAN THANG 07 NAM 2026,Thu nhập chính,synthetic
gửi bà tháng 6,Gia đình,synthetic
tiền yoga,Sức khoẻ,synthetic
vé máy bay đi Huế,Du lịch,synthetic
Bamboo Airways đi Quy Nhơn,Du lịch,synthetic
chè,Ăn uống,synthetic
trả góp 2120,Công việc & Khác,synthetic
co nghi sp,Mua sắm cá nhân,real
rút tiền Tikop,Lãi đầu tư,synthetic
Rut tien tu Tikop TK24211686,Lãi đầu tư,synthetic
tiền công,Công việc & Khác,synthetic
mua pizza,Ăn uống,synthetic
đặt đặt phòng khách sạn,Du lịch,synthetic
gửi ông bà,Gia đình,synthetic
thanh toán tiền phòng,Sinh hoạt & Nhà ở,synthetic
Rut tien tu Tikop TK97777422,Lãi đầu tư,synthetic
Rut tien tu Tikop TK80383199,Lãi đầu tư,synthetic
áo khoác,Mua sắm cá nhân,synthetic
đi vé xe,Di chuyển,synthetic
Ngô Quốc Anh quỹ,Quỹ nhóm,synthetic
quỹ chung,Quỹ nhóm,synthetic
sinh nhật Lê Thị Yến,Giải trí & Quan hệ,synthetic
tiền tai nghe,Mua sắm cá nhân,synthetic
gửi bà tháng 8,Gia đình,synthetic
đóng tiền nhà,Sinh hoạt & Nhà ở,synthetic
đi thực phẩm chức năng,Sức khoẻ,synthetic
đi tiền thuốc,Sức khoẻ,synthetic
Sendo đơn 9145,Mua sắm cá nhân,synthetic
Rut tien tu Tikop TK89541539,Lãi đầu tư,synthetic
Shopee (1807,Mua sắm cá nhân,synthetic
Grab% A-FJ2SGM5S7FDM,Di chuyển,synthetic
Nhận từ Mai Đức Huy,Thu nhập phụ,synthetic
tiền điện thoại,Mua sắm cá nhân,synthetic
mừng đám cưới Mai Bảo Mai,Giải trí & Quan hệ,synthetic
sinh nhật Mai Thu Khang,Giải trí & Quan hệ,synthetic
tiền hát karaoke,Giải trí & Quan hệ,synthetic
đặt resort,Du lịch,synthetic
tiền canxi,Sức khoẻ,synthetic
chuyển đến Phan Gia Ngân,Công việc & Khác,synthetic
Vinasun,Di chuyển,synthetic
Vietjet Air đi Phú Quốc,Du lịch,synthetic
tiền váy,Mua sắm cá nhân,synthetic
tiền nước tháng 2,Sinh hoạt & Nhà ở,synthetic
cổ tức cổ phiếu,Lãi đầu tư,synthetic
Lazada Anh,Mua sắm cá nhân,synthetic
Nhận từ Võ Thành Tuấn Trợ cấp,Thu nhập phụ,synthetic
bún bò,Ăn uống,synthetic
MPOS'ICONDENIM TPTD,Mua sắm cá nhân,real
Grab% A-X97SBADC82R5,Di chuyển,synthetic
Nhận từ Dương Ngọc Lan,Thu nhập phụ,synthetic
đóng quỹ tháng 10,Quỹ nhóm,synthetic
Grab% A-AFXBZALZRTEP,Di chuyển,synthetic
vé máy bay đi Hàn Quốc,Du lịch,synthetic
yoga,Sức khoẻ,synthetic
khách sạn Đà Lạt,Du lịch,synthetic
TIKI THANH TOAN LUONG CO BAN THANG 01 NAM 2026,Thu nhập chính,synthetic
tiền trọ tháng 12,Sinh hoạt & Nhà ở,synthetic
tiền xe ôm,Di chuyển,synthetic
tiền combo du lịch,Du lịch,synthetic
TIKI thanh toan luong thang 5,Thu nhập chính,synthetic
nạp thẻ EVN 20k,Sinh hoạt & Nhà ở,synthetic
tiền mạng tháng 1,Sinh hoạt & Nhà ở,synthetic
phụ giúp gia đình tháng 12,Gia đình,synthetic
Rut tien tu Tikop TK62430296,Lãi đầu tư,synthetic
Grab% A-UMWJAZBI6U8G,Di chuyển,synthetic
LE TRAN QUOC HUU NOP quy% SP4020097042204190813052026V WR5710272.5189.87403.081251,Quỹ nhóm,real
đi du lịch Phan Thiết,Du lịch,synthetic
đi khẩu trang,Sức khoẻ,synthetic
TIKI THANH TOAN THU NHAP TANG THEM THANG 09 NAM 2026,Thu nhập chính,synthetic
đi nhà thuốc,Sức khoẻ,synthetic
Grab% A-G5NA3PJER560,Di chuyển,synthetic
quần áo,Mua sắm cá nhân,synthetic
biếu bà tháng 11,Gia đình,synthetic
Rut tien tu Tikop TK61866272,Lãi đầu tư,synthetic
trả góp tháng 4,Công việc & Khác,synthetic
tiền chợ tháng 1,Gia đình,synthetic
nạp thẻ Vinaphone 10k,Sinh hoạt & Nhà ở,synthetic
quỹ tháng 1,Quỹ nhóm,synthetic
sinh nhật Đinh Anh Lan,Giải trí & Quan hệ,synthetic
Grab% A-9C862UJWXCFQAV HA,Di chuyển,real
gửi gia đình tháng 4,Gia đình,synthetic
DUONG THANH TRUNG hoàn tiền,Thu nhập phụ,synthetic
đặt tour,Du lịch,synthetic
quà sinh nhật Ngô Văn Lan,Giải trí & Quan hệ,synthetic
tiền bỉm sữa tháng 4,Gia đình,synthetic
lì xì Đặng Văn Như,Giải trí & Quan hệ,synthetic
mua kính mát,Mua sắm cá nhân,synthetic
HOANG DINH NAM quỹ,Quỹ nhóm,synthetic
đi du lịch Hạ Long,Du lịch,synthetic
tiền game,Giải trí & Quan hệ,synthetic
tiền mạng tháng 6,Sinh hoạt & Nhà ở,synthetic
nạp thẻ VNPT 200k,Sinh hoạt & Nhà ở,synthetic
lương tháng 2,Thu nhập chính,synthetic
đóng học phí tháng 2,Gia đình,synthetic
sinh nhật Ngô Minh Tài,Giải trí & Quan hệ,synthetic
Phạm Minh Hạnh tra no,Thu nhập phụ,synthetic
học phí con tháng 9,Gia đình,synthetic
đặt homestay,Du lịch,synthetic
đi nha sĩ,Sức khoẻ,synthetic
đóng phí chung cư,Sinh hoạt & Nhà ở,synthetic
tiền hoa hồng,Thu nhập phụ,synthetic
VO VAN HAI quỹ,Quỹ nhóm,synthetic
chuyển đến Nguyễn Khánh Thiện,Công việc & Khác,synthetic
đi du lịch Hội An,Du lịch,synthetic
CONG TY TNHH ABC thanh toan luong thang 6,Thu nhập chính,synthetic
sushi,Ăn uống,synthetic
mua bàn phím,Mua sắm cá nhân,synthetic
tiền vệ sinh,Sinh hoạt & Nhà ở,synthetic
biếu ông tháng 8,Gia đình,synthetic
mua chuột máy tính,Mua sắm cá nhân,synthetic
VNG thanh toan luong thang 12,Thu nhập chính,synthetic
Trương Khánh Huy quỹ,Quỹ nhóm,synthetic
phụ kiện,Mua sắm cá nhân,synthetic
LE BAO THIEN quỹ,Quỹ nhóm,synthetic
áo thun,Mua sắm cá nhân,synthetic
thắt lưng,Mua sắm cá nhân,synthetic
gửi ông bà tháng 8,Gia đình,synthetic
conghi grab,Di chuyển,synthetic
INFINA TRUONG ANH VIET,Lãi đầu tư,synthetic
Rut tien tu Tikop TK37799083,Lãi đầu tư,synthetic
tiền men tiêu hóa,Sức khoẻ,synthetic
ăn tối pizza,Ăn uống,synthetic
Nhận từ Ngô Hoàng Phương Thu hồi nợ,Thu nhập phụ,synthetic
Nạp tiền điện thoại Vinaphone,Sinh hoạt & Nhà ở,synthetic
Bamboo Airways,Du lịch,synthetic
TIK15860545 4927,Lãi đầu tư,synthetic
thanh toán mì xào,Ăn uống,synthetic
Bùi Bảo Thiện trả nợ,Thu nhập phụ,synthetic
chuyển đến Lê Tuấn Nhi,Công việc & Khác,synthetic
Nhận từ Đặng Thanh Dũng,Thu nhập phụ,synthetic
đi đơn thuốc,Sức khoẻ,synthetic
Grab% A-QEKFQKH4N7W3,Di chuyển,synthetic
vé tàu hỏa,Du lịch,synthetic
trả tiền gửi xe tháng,Sinh hoạt & Nhà ở,synthetic
Haidilao,Ăn uống,synthetic
Vietjet Air đi Sapa,Du lịch,synthetic
tiền Lotte Cinema,Giải trí & Quan hệ,synthetic
NGUYEN HUU BINH chuyển tiền,Công việc & Khác,synthetic
tiền cho con tháng 6,Gia đình,synthetic
lương tháng 5,Thu nhập chính,synthetic
VO MINH HANG chuyển tiền,Công việc & Khác,synthetic
thanh toán khách sạn,Du lịch,synthetic
Nhận từ Ngô Anh Dung,Thu nhập phụ,synthetic
phí chung cư,Sinh hoạt & Nhà ở,synthetic
DINH HAI KHANH quỹ nhóm,Quỹ nhóm,synthetic
nộp quỹ tháng 8,Quỹ nhóm,synthetic
Rut tien tu Tikop TK90982133,Lãi đầu tư,synthetic
Nhận từ Bùi Hải Vy,Thu nhập phụ,synthetic
Grab% A-IJ6U4LHKHGJC,Di chuyển,synthetic
Bamboo Airways đi Nhật Bản,Du lịch,synthetic
tiền chợ tháng 7,Gia đình,synthetic
sinh nhật Ngô Thu Quỳnh,Giải trí & Quan hệ,synthetic
INFINA DO THI DUNG,Lãi đầu tư,synthetic
Nhận từ Bùi Thu Phúc Thu hồi nợ,Thu nhập phụ,synthetic
chuyển đến Lê Tuấn Trường,Công việc & Khác,synthetic
lương tháng này,Thu nhập chính,synthetic
tiền Gojek,Di chuyển,synthetic
tiền học con tháng 5,Gia đình,synthetic
chuyển đến Trương Văn Trang,Công việc & Khác,synthetic
tiền khách sạn,Du lịch,synthetic
Dương Đình Tài chuyển tiền quỹ,Quỹ nhóm,synthetic
Vietnam Airlines đi Hội An,Du lịch,synthetic
tiền mua thuốc,Sức khoẻ,synthetic
Grab% A-56FMA2PLR606,Di chuyển,synthetic
thanh toán gà rán,Ăn uống,synthetic
Nhận từ Lý Hoàng Thiện Thu hồi nợ,Thu nhập phụ,synthetic
thanh toán combo du lịch,Du lịch,synthetic
Đặng Hải Kiên quỹ ae,Quỹ nhóm,synthetic
quà tặng Hồ Anh Thảo,Giải trí & Quan hệ,synthetic
Nhận từ Phạm Đình Linh Thu hồi nợ,Thu nhập phụ,synthetic
tiền tiệc,Giải trí & Quan hệ,synthetic
NGUYEN HUU VY,Công việc & Khác,synthetic
tiền quần áo,Mua sắm cá nhân,synthetic
tiền bún,Ăn uống,synthetic
ăn đồ nướng,Ăn uống,synthetic
Nhận từ Đặng Tuấn Huy,Thu nhập phụ,synthetic
LY ANH HUONG hoàn tiền,Thu nhập phụ,synthetic
viện phí,Sức khoẻ,synthetic
Sendo (3136,Mua sắm cá nhân,synthetic
cafe,Ăn uống,synthetic
tiền phở,Ăn uống,synthetic
TRAN DINH KHANG chuyen tien,Thu nhập phụ,real
Mai Đức Khang quỹ,Quỹ nhóm,synthetic
sinh nhật Lý Hoàng Khang,Giải trí & Quan hệ,synthetic
mua chè,Ăn uống,synthetic
CONG TY TNHH ABC thanh toan luong thang 3,Thu nhập chính,synthetic
LUONG THANG 3/2026,Thu nhập chính,synthetic
LUONG THANG 4/2026,Thu nhập chính,synthetic
Rut tien tu Tikop TK22227594,Lãi đầu tư,synthetic
MB BANK thanh toan luong thang 10,Thu nhập chính,synthetic
đi du lịch Côn Đảo,Du lịch,synthetic
Nhận từ Đỗ Bảo Ngân,Thu nhập phụ,synthetic
mừng cưới Mai Xuân Đạt,Giải trí & Quan hệ,synthetic
VO XUAN NGA,Công việc & Khác,synthetic
TIK80179022 2684,Lãi đầu tư,synthetic
tiền đặt phòng khách sạn,Du lịch,synthetic
phụ giúp gia đình tháng 2,Gia đình,synthetic
